,Unnamed: 0,Season,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Off,Def,WAR,playerid,clusters
6845,6845,2004,136,565,16,79,74,17,0.053,0.156,0.156,0.307,0.28,0.326,0.436,0.762,0.328,96,4.8,2.3,0.8,2.2,1656,1
6846,6846,2004,125,504,30,73,70,8,0.085,0.276,0.258,0.237,0.216,0.287,0.473,0.76,0.32,88,0.7,-7.0,12.4,2.2,256,1
6847,6847,2007,126,527,14,67,58,9,0.089,0.157,0.143,0.304,0.274,0.341,0.418,0.759,0.332,99,-3.8,-4.4,8.4,2.2,157,1
6848,6848,2004,143,594,13,68,80,4,0.061,0.082,0.135,0.292,0.286,0.338,0.421,0.759,0.331,100,-7.1,-6.7,9.7,2.2,662,1
6849,6849,1955,128,527,15,50,68,1,0.063,0.11,0.133,0.302,0.29,0.337,0.422,0.759,0.341,100,-1.0,-1.1,4.2,2.2,1007755,0
6850,6850,2008,160,699,22,85,85,14,0.089,0.236,0.195,0.3,0.248,0.315,0.443,0.758,0.329,91,5.4,-2.5,2.6,2.2,3882,1
6851,6851,2002,143,554,10,60,64,1,0.134,0.125,0.131,0.284,0.261,0.365,0.392,0.757,0.334,101,0.3,1.0,1.8,2.2,741,1
6852,6852,2014,154,637,25,71,85,3,0.055,0.29,0.181,0.341,0.264,0.312,0.445,0.757,0.33,110,-2.3,5.1,-4.7,2.2,950,1
6853,6853,2009,138,535,13,57,49,1,0.045,0.097,0.125,0.312,0.3,0.331,0.425,0.756,0.327,92,-3.3,-8.9,11.8,2.2,746,1
6854,6854,1995,138,571,15,63,68,5,0.072,0.147,0.162,0.291,0.267,0.326,0.429,0.755,0.333,98,0.4,-0.7,3.7,2.2,1067,1
6855,6855,1996,148,602,9,110,29,37,0.208,0.15,0.103,0.28,0.241,0.41,0.344,0.754,0.356,122,0.4,17.1,-12.3,2.2,194,1
6856,6856,2019,152,608,10,80,50,5,0.066,0.123,0.139,0.306,0.278,0.336,0.417,0.753,0.32,97,0.7,-2.0,4.9,2.2,15223,1
6857,6857,1997,132,510,10,61,45,17,0.122,0.255,0.131,0.351,0.264,0.354,0.395,0.749,0.337,97,1.3,-0.6,5.0,2.2,1000749,0
6858,6858,1994,109,480,10,75,44,24,0.102,0.158,0.126,0.31,0.272,0.349,0.399,0.748,0.333,100,1.7,1.6,5.1,2.2,1006372,0
6859,6859,1979,136,550,10,54,79,3,0.107,0.107,0.125,0.284,0.268,0.354,0.393,0.747,0.335,108,0.4,5.9,-3.1,2.2,1005571,0
6860,6860,1985,144,577,12,69,56,10,0.085,0.092,0.127,0.285,0.275,0.345,0.402,0.747,0.335,112,0.2,8.1,-5.8,2.2,1007957,0
6861,6861,1951,142,507,9,62,51,5,0.073,0.059,0.132,0.284,0.279,0.336,0.411,0.747,0.344,98,-0.7,-2.0,6.8,2.2,1002692,0
6862,6862,1986,152,668,21,89,86,32,0.096,0.183,0.165,0.283,0.253,0.329,0.418,0.747,0.331,102,1.9,3.4,-4.3,2.2,1009238,0
6863,6863,1994,101,369,11,35,41,1,0.068,0.154,0.151,0.297,0.273,0.322,0.424,0.746,0.325,93,-0.7,-3.8,13.4,2.2,1130,1
6864,6864,1977,151,673,5,83,51,4,0.056,0.091,0.088,0.334,0.309,0.348,0.397,0.745,0.333,102,-0.2,1.0,-2.5,2.2,1004385,0
6865,6865,2011,131,607,6,84,61,16,0.076,0.133,0.092,0.336,0.297,0.355,0.388,0.743,0.331,104,0.4,3.3,-2.4,2.2,826,1
6866,6866,1935,148,637,12,86,72,14,0.055,0.078,0.16,0.277,0.269,0.314,0.429,0.743,0.336,98,2.6,0.7,-0.3,2.2,1004857,0
6867,6867,1985,150,582,16,72,68,19,0.053,0.108,0.158,0.279,0.269,0.315,0.427,0.742,0.329,113,0.4,9.0,-6.6,2.2,1000645,0
6868,6868,1962,159,646,12,79,64,0,0.096,0.127,0.134,0.294,0.269,0.338,0.403,0.741,0.327,95,-0.3,-4.5,7.9,2.2,1000132,0
6869,6869,1995,130,504,8,81,56,36,0.097,0.125,0.109,0.307,0.278,0.353,0.387,0.74,0.332,98,4.9,3.3,2.4,2.2,1006372,0
6870,6870,1978,159,633,11,90,64,13,0.13,0.107,0.135,0.271,0.255,0.351,0.389,0.74,0.334,107,0.8,6.0,-6.1,2.2,1005706,0
6871,6871,1961,148,627,3,81,54,1,0.077,0.062,0.098,0.309,0.293,0.348,0.392,0.74,0.333,95,0.4,-3.4,5.5,2.2,1007832,0
6872,6872,1946,148,651,4,72,66,4,0.171,0.057,0.1,0.269,0.256,0.384,0.355,0.739,0.359,112,0.4,8.9,-7.4,2.2,1004150,0
6873,6873,1941,154,653,17,77,97,2,0.061,0.02,0.153,0.253,0.269,0.318,0.421,0.739,0.342,106,0.1,4.8,-2.7,2.2,1008413,0
6874,6874,2000,130,513,14,59,71,1,0.045,0.064,0.14,0.275,0.281,0.318,0.421,0.739,0.322,84,0.3,-10.7,15.1,2.2,24,1
6875,6875,1958,128,490,12,62,50,3,0.065,0.114,0.155,0.282,0.268,0.316,0.423,0.739,0.327,106,0.1,3.6,2.8,2.2,1000679,0
6876,6876,1932,154,635,7,66,85,19,0.072,0.088,0.108,0.303,0.282,0.343,0.39,0.733,0.337,98,3.7,2.4,-0.2,2.2,1010342,0
6877,6877,1988,154,649,11,77,56,11,0.083,0.163,0.128,0.303,0.264,0.341,0.392,0.733,0.333,113,-1.8,7.2,-6.7,2.2,1001313,0
6878,6878,1993,139,628,12,67,68,9,0.084,0.169,0.132,0.31,0.268,0.333,0.4,0.733,0.327,99,-1.8,-2.7,5.1,2.2,857,1
6879,6879,1927,148,635,0,85,59,8,0.11,0.028,0.107,0.28,0.27,0.354,0.378,0.732,0.345,94,-2.7,-7.6,7.5,2.2,1006683,0
6880,6880,2017,141,534,12,63,59,8,0.066,0.208,0.147,0.321,0.267,0.319,0.413,0.732,0.313,95,-1.3,-4.4,8.5,2.2,11602,1
6881,6881,2008,154,668,23,71,84,0,0.034,0.208,0.173,0.297,0.26,0.299,0.433,0.732,0.316,96,0.0,-3.3,4.0,2.2,5995,1
6882,6882,2009,150,590,12,64,64,3,0.085,0.142,0.143,0.286,0.258,0.33,0.401,0.731,0.324,96,-2.0,-5.2,8.3,2.2,6444,1
6883,6883,1932,153,647,7,71,90,8,0.119,0.1,0.108,0.29,0.265,0.358,0.373,0.731,0.341,92,0.6,-6.3,5.3,2.2,1003617,0
6884,6884,1969,151,621,20,76,61,10,0.071,0.156,0.148,0.287,0.264,0.319,0.412,0.731,0.331,109,0.0,6.4,-6.9,2.2,1001551,0
6885,6885,1993,152,671,6,94,59,48,0.104,0.133,0.084,0.323,0.285,0.361,0.369,0.73,0.333,101,-0.2,0.4,0.3,2.2,1002898,0
6886,6886,1968,147,550,6,53,62,8,0.064,0.078,0.103,0.305,0.29,0.336,0.393,0.729,0.33,124,-0.7,12.1,-7.7,2.2,1002079,0
6887,6887,1972,140,567,4,57,47,13,0.062,0.062,0.072,0.321,0.307,0.35,0.379,0.729,0.333,111,1.0,7.7,-5.9,2.2,1000179,0
6888,6888,2006,142,652,3,84,49,25,0.086,0.089,0.074,0.324,0.296,0.358,0.37,0.728,0.325,95,0.6,-3.5,3.4,2.2,513,1
6889,6889,1953,149,571,19,61,70,1,0.149,0.079,0.16,0.213,0.225,0.342,0.385,0.727,0.338,93,0.3,-4.8,8.8,2.2,1006601,0
6890,6890,1975,132,548,9,87,46,39,0.12,0.089,0.138,0.257,0.247,0.342,0.385,0.727,0.337,106,3.6,7.3,-4.5,2.2,1009893,0
6891,6891,1938,136,597,3,76,55,9,0.144,0.062,0.094,0.275,0.259,0.373,0.353,0.726,0.349,85,0.7,-12.7,12.3,2.2,1011128,0
6892,6892,2013,155,674,8,80,37,20,0.082,0.059,0.084,0.295,0.286,0.356,0.37,0.726,0.326,102,-4.2,-2.5,2.4,2.2,13075,1
6893,6893,1943,138,592,10,62,84,2,0.096,0.052,0.099,0.28,0.277,0.349,0.377,0.726,0.351,108,-1.7,3.4,-3.0,2.2,1005793,0
6894,6894,1940,130,508,3,46,58,12,0.035,0.043,0.091,0.315,0.305,0.331,0.395,0.726,0.331,103,2.1,4.1,2.7,2.2,1011257,0
